AScore_Sample58,AScore_Sample59,AScore_Sample60,AScore_Sample61,AScore_Sample62,AScore_Sample63,AScore_Sample64,AScore_Sample65,AScore_Sample66,AScore_Sample67,AScore_Sample68,AScore_Sample69,AScore_Sample70,AScore_Sample71,AScore_Sample72,AScore_Sample73,AScore_Sample74,AScore_Sample75,AScore_Sample76,AScore_Sample77,AScore_Sample78,AScore_Sample79,AScore_Sample80,AScore_Sample81,AScore_Sample82,AScore_Sample83,AScore_Sample84,AScore_Sample157,AScore_Sample158,AScore_Sample159,AScore_Sample160,AScore_Sample161,AScore_Sample162,AScore_Sample163,AScore_Sample164,AScore_Sample165,AScore_Sample166,AScore_Sample167,AScore_Sample168,AScore_Sample169,AScore_Sample170,AScore_Sample171,AScore_Sample172,AScore_Sample173,AScore_Sample174,AScore_Sample175,AScore_Sample176,AScore_Sample177,AScore_Sample178,AScore_Sample179,AScore_Sample180,AScore_Sample181,AScore_Sample182,AScore_Sample183
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,K1:Dimethylation(KR):43.66;S2:Propionate labeling reagent light:64.80;K10:Propionate labeling reagent light:20.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):22.33;S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):67.55;S2:Propionate labeling reagent light:71.64;K10:Propionate labeling reagent light:17.01,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):58.64;S2:Propionate labeling reagent light:85.06;K10:Propionate labeling reagent light:17.01,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):25.63;S2:Propionate labeling reagent light:29.11;K10:Propionate labeling reagent light:10.11,K1:Dimethylation(KR):57.70;S2:Propionate labeling reagent light:60.15;K10:Propionate labeling reagent light:14.02,NA,NA,NA,NA,K1:Dimethylation(KR):166.37;S2:Propionate labeling reagent light:186.74;K10:Propionate labeling reagent light:26.02,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):48.03;S2:Propionate labeling reagent light:42.46;K10:Ubiquitin:8.14
NA,NA,NA,NA,K1:Dimethylation(KR):55.80;S2:Propionate labeling reagent light:24.59;K10:Dimethylation(KR):12.28,NA,NA,NA,NA,NA,K1:Dimethylation(KR):21.51;S2:Propionate labeling reagent light:27.52;K10:Dimethylation(KR):14.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):27.65;S2:Propionate labeling reagent light:22.83;K10:Dimethylation(KR):33.98,NA,NA,NA,NA,NA,K1:Dimethylation(KR):81.06;S2:Propionate labeling reagent light:90.01;K10:Dimethylation(KR):14.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):29.98;S2:Propionate labeling reagent light:31.37;K10:Dimethylation(KR):17.01,NA,K1:Dimethylation(KR):104.83;S2:Propionate labeling reagent light:97.31;K10:Dimethylation(KR):26.02,K1:Dimethylation(KR):67.24;S2:Propionate labeling reagent light:77.76;K10:Dimethylation(KR):12.28,NA,K1:Dimethylation(KR):16.78;S2:Propionate labeling reagent light:14.29;K10:Dimethylation(KR):0.00,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):35.60;S2:Phosphorylation (STY):0.00;K10:Propionate labeling reagent light:30.46,NA,K1:Dimethylation(KR):27.52;S2:Phosphorylation (STY):9.86;K10:Propionate labeling reagent light:17.01,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):23.78;T6:Ubiquitin:19.86;K10:Acetylation (K):24.44,NA,NA,NA,NA,NA,K1:Dimethylation(KR):23.02;T6:Ubiquitin:8.81;K10:Acetylation (K):12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):9.28;T6:Dehydration:8.26;K10:Ubiquitin:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):32.22;T6:Phosphorylation (STY):11.12;K10:Propionate labeling reagent light:14.02,NA,NA,NA,NA,K1:Dimethylation(KR):0.00;T6:Phosphorylation (STY):19.86;K10:Propionate labeling reagent light:0.00,K1:Dimethylation(KR):0.00;T6:Phosphorylation (STY):38.03;K10:Propionate labeling reagent light:0.00,NA,K1:Dimethylation(KR):51.24;T6:Phosphorylation (STY):19.86;K10:Propionate labeling reagent light:17.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dimethylation(KR):44.88;T6:Phosphorylation (STY):49.79;K10:Propionate labeling reagent light:0.00,NA,K1:Dimethylation(KR):0.00;T6:Phosphorylation (STY):16.51;K10:Propionate labeling reagent light:17.01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Carboxyethyl:27.52;S2:Dehydration:5.55;K10:Propionate labeling reagent light:17.01
K1:Acetylation (K):25.38;S2:Propionate labeling reagent light:25.38;K10:Ubiquitin:0.00,NA,NA,NA,NA,K1:Acetylation (K):12.23;S2:Propionate labeling reagent light:0.00;K10:Ubiquitin:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Methylation(KR):32.47;S2:Propionate labeling reagent light:38.92;K10:Propionate labeling reagent light:11.06,NA,NA,NA,NA,NA,NA,NA,NA,K1:Methylation(KR):0.00;S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:0.00,NA,K1:Methylation(KR):29.66;S2:Propionate labeling reagent light:51.66;K10:Propionate labeling reagent light:14.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Methylation(KR):58.64;S2:Propionate labeling reagent light:74.73;K10:Propionate labeling reagent light:10.11,NA,NA,NA,NA,K1:Methylation(KR):43.00;S2:Propionate labeling reagent light:50.04;K10:Propionate labeling reagent light:17.01,NA,NA,NA,NA,K1:Methylation(KR):0.00;S2:Propionate labeling reagent light:28.92;K10:Propionate labeling reagent light:17.01,NA
NA,K1:Oxidation or Hydroxylation:4.05;P4:Dihydroxy:4.05;K10:Propionate labeling reagent light:12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dihydroxy:9.42;S2:Dehydration:19.86;T6:Ubiquitin:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dihydroxy:22.45;S2:Dehydration:38.03;K10:Ubiquitin:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Dihydroxy:22.83;P4:Dihydroxy:38.64;K10:Propionate labeling reagent light:27.96
NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:8.74;K11:Propionate labeling reagent light:10.69,NA,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:95.39;K11:Propionate labeling reagent light:91.60,NA,NA,NA,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:61.14;K11:Propionate labeling reagent light:74.64,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:46.49;K11:Propionate labeling reagent light:58.72,NA,NA,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:45.92;K11:Propionate labeling reagent light:42.76,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:85.33;K11:Propionate labeling reagent light:94.89,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:34.08;K11:Propionate labeling reagent light:57.10,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:71.64;K11:Propionate labeling reagent light:82.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:112.27;K11:Propionate labeling reagent light:116.40,NA,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:110.90;K11:Propionate labeling reagent light:128.96,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:159.26;K11:Propionate labeling reagent light:164.65,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:130.84;K11:Propionate labeling reagent light:154.29,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:0.00;K11:Propionate labeling reagent light:0.00,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:126.05;K11:Propionate labeling reagent light:148.29,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:74.73;K11:Propionate labeling reagent light:81.06,NA,S2:Propionate labeling reagent light:0.00;K10:Propionate labeling reagent light:70.25;K11:Propionate labeling reagent light:71.78,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S2:Ubiquitin:0.00;T6:Dehydration:28.70;K10:Propionate labeling reagent light:17.01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00,Y1:Propionate labeling reagent light:1000.00
Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00,Y1:Carbamylation:1000.00
Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00,Y1:Carbamidomethylation (DHKE  X@N-term):1000.00
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y1:Carbamylation:1000.00;R2:Oxidation or Hydroxylation:40.00,NA,NA,Y1:Carbamylation:1000.00;R2:Oxidation or Hydroxylation:26.02,Y1:Carbamylation:1000.00;R2:Oxidation or Hydroxylation:40.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y1:Carbamylation:1000.00,NA,NA,NA,NA,NA,NA,NA,NA,Y1:Carbamylation:1000.00
NA,NA,NA,NA,NA,NA,R1:Propionate labeling reagent light:0.00,R1:Propionate labeling reagent light:10.22,NA,NA,NA,R1:Propionate labeling reagent light:0.00,NA,NA,R1:Propionate labeling reagent light:0.00,NA,NA,NA,NA,R1:Propionate labeling reagent light:13.03,NA,R1:Propionate labeling reagent light:7.64,R1:Propionate labeling reagent light:7.64,R1:Propionate labeling reagent light:6.63,NA,R1:Propionate labeling reagent light:5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1:Propionate labeling reagent light:22.45,NA,NA,R1:Propionate labeling reagent light:11.12,NA,NA,NA,R1:Propionate labeling reagent light:12.33,R1:Propionate labeling reagent light:6.63,NA,NA,R1:Propionate labeling reagent light:0.00,NA,NA,NA,R1:Propionate labeling reagent light:4.05,NA,R1:Propionate labeling reagent light:16.65
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1:Carbamidomethylation (DHKE  X@N-term):0.00,NA,NA,NA,NA,NA,NA
NA,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:27.96,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:12.16,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:15.62,K4:Propionate labeling reagent light:27.96,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:13.38,K4:Propionate labeling reagent light:18.00,K4:Propionate labeling reagent light:11.12,K4:Propionate labeling reagent light:33.98,NA,K4:Propionate labeling reagent light:26.02,K4:Propionate labeling reagent light:12.66,K4:Propionate labeling reagent light:14.84,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:19.05,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:14.84,K4:Propionate labeling reagent light:19.05,K4:Propionate labeling reagent light:33.98,NA,K4:Propionate labeling reagent light:12.16,NA,K4:Propionate labeling reagent light:30.46,NA,K4:Propionate labeling reagent light:13.38,K4:Propionate labeling reagent light:27.96,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:17.01,K4:Propionate labeling reagent light:19.05,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:32.97,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:26.02,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:33.98,K4:Propionate labeling reagent light:30.46,K4:Propionate labeling reagent light:30.46
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K4:Carbamylation:9.42,NA,NA,K4:Carbamylation:12.16,NA,K4:Carbamylation:7.64,K4:Carbamylation:14.84,NA,K4:Carbamylation:9.42,NA,NA,K4:Carbamylation:19.05,K4:Carbamylation:3.64,NA,NA,K4:Carbamylation:19.16,K4:Carbamylation:9.42,K4:Carbamylation:24.24
NA,S5:Propionate labeling reagent light:0.00,NA,NA,S5:Propionate labeling reagent light:6.65,NA,NA,S5:Propionate labeling reagent light:0.00,NA,NA,S5:Propionate labeling reagent light:0.00,NA,S5:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,S5:Propionate labeling reagent light:0.00,NA,NA,NA,S5:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S5:Propionate labeling reagent light:0.00,S5:Propionate labeling reagent light:0.00,NA,S5:Propionate labeling reagent light:0.00,S5:Propionate labeling reagent light:0.00,NA,S5:Propionate labeling reagent light:0.00,S5:Propionate labeling reagent light:0.00,NA,NA,NA,S5:Propionate labeling reagent light:6.93,NA
